URL_IDENTIFICATION,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,CONTENT_LENGTH,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
M0_1252,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1279,39,utf-8,7,Apache,12985,America,CO,17 February 2006,19 August 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1285,39,utf-8,8,nginx,NaN,America,Oregon,30 August 2000,16 August 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1300,39,UTF-8,8,GSE,9352,America,CA,31 July 2000,29 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1338,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1344,39,UTF-8,7,Apache,NaN,America,NY,10 July 2002,18 October 2013,0,0,0,0,0,0,0,0,0,0,0
M0_138,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,61,52,4,7271,68,71,8017,60586,71,10,0
M0_1380,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1384,39,utf-8,10,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_155,39,UTF-8,8,nginx,NaN,France,NaN,04 September 1996,26 April 2016,8,0,2,1059,11,12,1361,1506,12,4,0
M0_19,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,16,7,3,2241,20,22,2683,6701,22,6,0
M0_195,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,64,48,8,6413,68,72,7005,58285,72,8,0
M0_2004,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,2,2,1,276,4,2,276,244,2,0,0
M0_2052,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,16,6,4,1224,4,16,1224,244,16,0,0
M0_2079,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,34,24,7,5528,22,34,5528,7472,34,0,0
M0_2103,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,6,2,3,492,3,6,492,184,6,0,0
M0_2121,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,5,3,2,498,7,5,498,438,5,0,0
M0_2136,39,UTF-8,8,Apache,9050,NaN,NaN,NaN,NaN,22,9,9,1560,18,22,1560,1334,22,0,0
M0_2160,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,22,9,10,1524,11,22,1524,702,22,0,0
M0_2179,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,2,2,1,276,4,2,276,246,2,0,0
M0_2193,39,utf-8,9,ATS,620,America,CA,18 January 1995,26 August 2015,3,3,1,366,5,3,366,306,3,0,0
M0_2202,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,18,7,11,1308,16,18,1308,1030,18,0,0
M0_2241,39,ISO-8859-1,9,AmazonS3,889,NaN,NaN,15 May 2005,15 April 2017,10,4,5,816,7,10,816,436,10,0,0
M0_2244,39,ISO-8859-1,9,nginx,1502,America,Ohio,08 January 2004,03 January 2017,8,4,6,684,12,8,684,762,8,0,0
M0_2269,39,UTF-8,9,Apache,NaN,NaN,NaN,NaN,NaN,4,3,2,420,5,4,420,310,4,0,0
M0_2284,39,UTF-8,10,cloudflare-nginx,NaN,NaN,NaN,NaN,NaN,3,3,1,366,4,3,366,244,3,0,0
M0_2285,39,utf-8,10,cloudflare-nginx,NaN,America,Arizona,10 November 2009,21 April 2015,12,5,5,912,4,12,912,244,12,0,0
M0_2291,39,iso-8859-1,7,Apache,340,Canada,ON,26 November 1996,02 November 2016,11,5,5,894,10,11,894,634,11,0,0
M0_2297,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,9,8,6,714,11,9,714,788,9,0,0
M0_233,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,25,11,4,3771,32,33,4385,11756,33,8,0
M0_253,39,ISO-8859-1,8,Apache,1002,Austria,Austria,01 June 2004,02 June 2016,10,2,7,927,20,14,1241,2926,14,4,0
M0_273,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,23,6,10,2679,26,29,3121,7080,29,6,0
M0_345,39,ISO-8859-1,7,cloudflare-nginx,NaN,NaN,NaN,02 August 2010,04 May 2016,28,6,13,2721,29,30,2879,15626,30,2,0
M0_356,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,63,54,5,6884,70,73,7630,57005,73,10,0
M0_389,39,utf-8,7,Apache/2.2.15 (CentOS),431,KY,GRAND CAYMAN,24 August 2003,27 February 2017,9,0,1,865,12,11,1045,19264,11,2,0
M0_392,39,ISO-8859-1,9,nginx,1500,America,Ohio,08 January 2004,03 January 2017,40,11,12,6028,46,46,6502,20061,46,6,0
M0_393,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,44,36,6,5129,68,52,5721,59068,52,8,0
M0_471,39,ISO-8859-1,9,NaN,1819,America,CA,02 November 2002,02 February 2017,38,33,1,6419,47,48,7171,29141,48,10,0
M0_480,39,ISO-8859-1,6,nginx/1.10.0 (Ubuntu),NaN,LV,RIX,19 July 2010,20 July 2016,71,67,7,7582,73,79,8282,82537,79,8,0
M0_50,39,us-ascii,8,Microsoft-HTTPAPI/2.0,324,Turkey,TR,28 October 2008,03 April 2016,12,6,9,1063,16,14,1213,1287,14,2,0
M0_523,39,ISO-8859-1,8,nginx/1.8.1,NaN,America,nj,24 June 2003,22 August 2016,24,13,8,2750,32,30,3190,9290,30,6,0
M0_606,39,us-ascii,9,cloudflare-nginx,NaN,America,Arizona,10 June 2005,04 June 2015,23,17,8,1970,26,27,2262,2183,27,4,0
M0_61,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,69,60,5,8450,80,81,9350,68036,81,12,0
M0_631,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,64,56,5,7076,71,74,7822,63630,74,10,0
M0_632,39,UTF-8,10,Apache/2.2.22 (Debian),8507,America,Arizona,28 February 2008,24 April 2017,13,3,7,1313,18,17,1605,1612,17,4,0
M0_644,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,62,50,5,6269,65,70,6861,54988,70,8,0
M0_666,39,utf-8,10,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,57,49,5,5951,64,65,6543,56509,65,8,0
M0_710,39,ISO-8859-1,9,nginx/1.11.10,121211,America,GA,22 September 1993,15 February 2017,35,0,2,3234,38,38,3384,129083,38,2,0
M0_742,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,60,51,4,6503,66,69,7095,58109,69,8,0
M0_795,39,utf-8,9,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_820,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_830,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_839,39,ISO-8859-1,8,Squeegit/1.2.5 (3_sir),NaN,America,MA,29 September 1994,29 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_841,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_85,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,66,56,7,8252,77,78,9152,61807,78,12,0
M0_854,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_865,39,UTF-8,9,Apache,58,Panama,Panama,07 November 2016,07 November 2016,0,0,0,0,0,0,0,0,0,0,0
M0_870,39,UTF-8,8,Apache/2,1007,Panama,Panama,30 July 2009,19 April 2017,0,0,0,0,0,0,0,0,0,0,0
M0_876,39,UTF-8,7,Virtuoso/07.20.3217 (Linux) i686-generic-linux-glibc212-64  VDB,NaN,DE,NaN,10 January 2007,09 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_900,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_902,39,utf-8,8,YouTubeFrontEnd,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
M0_915,39,ISO-8859-1,9,nginx/1.12.0,NaN,Canada,SK,19 October 2005,18 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_948,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_988,39,utf-8,8,YouTubeFrontEnd,NaN,America,CA,15 February 2005,14 January 2017,0,0,0,0,0,0,0,0,0,0,0
A0_126,40,UTF-8,13,nginx,637,NaN,NaN,NaN,NaN,12,1,5,1340,12,16,1622,964,16,4,1
A0_139,40,UTF-8,13,nginx,640,NaN,NaN,NaN,NaN,12,1,4,1325,14,18,1749,2091,18,6,1
A0_143,40,UTF-8,13,nginx,643,NaN,NaN,NaN,NaN,11,1,4,1266,12,15,1548,960,15,4,1
A0_158,40,UTF-8,11,nginx,667,NaN,NaN,NaN,NaN,21,1,5,2383,25,29,2983,3786,29,8,1
A0_160,40,UTF-8,11,nginx,667,NaN,NaN,NaN,NaN,19,1,5,2243,22,25,2691,3021,25,6,1
A0_39,40,utf-8,10,Apache,3016,NaN,NaN,NaN,NaN,11,0,2,1285,18,17,1741,2462,17,6,1
A0_45,40,ISO-8859-1,9,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,19,0,2,2610,22,25,3074,7715,25,6,1
M0_1011,40,UTF-8,9,Apache-Coyote/1.1,NaN,America,ca,14 May 1999,28 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1017,40,UTF-8,9,mw2239.codfw.wmnet,NaN,America,CA,13 January 2001,12 December 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1033,40,UTF-8,7,GSE,7283,America,CA,31 July 2000,29 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1075,40,utf-8,10,Yippee-Ki-Yay,12513,America,Arizona,13 September 2001,13 February 2013,0,0,0,0,0,0,0,0,0,0,0
M0_1116,40,UTF-8,7,Apache,13183,America,CA,22 February 2001,07 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1142,40,UTF-8,7,GSE,6222,America,CA,31 July 2000,29 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_116,40,UTF-8,9,Apache,7942,America,CA,02 October 2005,03 October 2016,8,0,2,1016,14,12,1324,1612,12,4,0
M0_1195,40,utf-8,7,NaN,NaN,Canada,ON,27 August 2002,01 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1228,40,utf-8,9,cloudflare-nginx,NaN,America,CO,28 September 1996,26 September 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1244,40,iso-8859-1,8,cloudflare-nginx,NaN,ES,Alicante,05 June 2006,24 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1311,40,ISO-8859-1,9,Apache,NaN,Australia,Queensland,22 March 2006,22 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1383,40,UTF-8,12,Apache,3013,America,CA,20 October 1998,04 December 2013,0,0,0,0,0,0,0,0,0,0,0
M0_1415,40,utf-8,11,nginx,NaN,America,NY,23 March 1995,03 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_2010,40,UTF-8,10,mw2165.codfw.wmnet,4692,America,CA,13 January 2001,12 December 2015,7,4,3,630,5,7,630,310,7,0,0
M0_2034,40,UTF-8,7,GSE,9433,America,CA,31 July 2000,29 June 2016,3,3,1,366,5,3,366,306,3,0,0
M0_2068,40,UTF-8,9,mw2192.codfw.wmnet,NaN,America,CA,13 January 2001,12 December 2015,14,12,5,1092,4,14,1092,244,14,0,0
M0_2148,40,us-ascii,9,Microsoft-HTTPAPI/2.0,324,America,New Jersey,23 April 2002,20 August 2015,3,3,1,366,5,3,366,306,3,0,0
M0_222,40,UTF-8,8,Apache/2.2.23 (Amazon),11590,America,New York,26 September 2005,23 July 2011,156,17,12,23383,206,162,23877,295213,162,6,0
M0_2275,40,iso-8859-1,9,Apache,230,America,California,04 January 1995,04 January 2017,5,3,3,486,4,5,486,244,5,0,0
M0_2323,40,utf-8,6,NaN,NaN,NaN,NaN,22 February 1996,16 January 2015,12,4,8,924,10,12,924,642,12,0,0
M0_251,40,ISO-8859-1,7,LiteSpeed,618,Australia,Vic,30 July 2004,30 March 2014,24,6,4,1784,27,26,1950,23886,26,2,0
M0_309,40,ISO-8859-1,8,NaN,NaN,America,ME,05 November 2008,07 October 2016,17,3,9,1394,20,19,1546,12358,19,2,0
M0_349,40,utf-8,9,nginx/1.11.3,NaN,NaN,NaN,01 July 2007,08 December 2016,16,11,2,2272,26,20,2576,16035,20,4,0
M0_353,40,utf-8,9,ATS,622,America,CA,18 January 1995,26 August 2015,8,1,3,1088,13,14,1524,2036,14,6,0
M0_376,40,ISO-8859-1,9,Apache/2.2.32,NaN,America,MO,29 December 2005,30 September 2015,21,0,2,2021,25,23,2165,26799,23,2,0
M0_391,40,us-ascii,6,Microsoft-HTTPAPI/2.0,324,America,PA,05 June 2003,26 November 2014,22,0,2,1724,26,24,1886,38477,24,2,0
M0_409,40,utf-8,7,NaN,NaN,Canada,ON,27 August 2002,01 June 2016,76,9,7,8268,88,84,8898,117625,84,8,0
M0_416,40,ISO-8859-1,6,nginx/1.12.0,1108,NaN,NaN,17 February 2009,16 February 2015,15,10,4,1166,19,19,1538,1626,19,4,0
M0_442,40,utf-8,9,nginx/1.4.6 (Ubuntu),NaN,America,CA,02 December 2005,02 December 2016,26,1,3,4229,36,30,4517,32381,30,4,0
M0_520,40,UTF-8,9,Microsoft-IIS/7.5,63279,America,OH,08 November 1998,16 March 2015,56,4,8,4551,59,60,4843,67881,60,4,0
M0_552,40,ISO-8859-1,8,Apache,15240,NaN,NaN,12 February 2002,16 October 2014,8,4,1,1325,12,12,1637,2833,12,4,0
M0_562,40,utf-8,9,Apache,65993,America,MO,20 May 1996,24 October 2016,24,0,9,2112,29,28,2404,16019,28,4,0
M0_590,40,ISO-8859-1,7,NaN,1819,America,CA,02 November 2002,02 February 2017,48,41,9,6057,54,56,6657,15706,56,8,0
M0_685,40,ISO-8859-1,8,nginx,NaN,America,WA,08 April 1996,18 November 2016,16,5,5,1615,23,20,1931,25358,20,4,0
M0_697,40,UTF-8,8,nginx,15363,America,NY,08 May 1996,27 January 2017,20,5,9,2948,27,24,3248,5557,24,4,0
M0_703,40,iso-8859-1,6,NaN,411,America,TX,02 March 1999,01 February 2017,14,1,3,1981,19,20,2497,6759,20,6,0
M0_765,40,UTF-8,7,GSE,38119,America,CA,31 July 2000,29 June 2016,38,1,3,2995,37,44,3531,41717,44,6,0
M0_803,40,ISO-8859-1,9,cloudflare-nginx,NaN,America,NJ,17 December 2007,15 December 2015,0,0,0,0,0,0,0,0,0,0,0
M0_863,40,utf-8,9,nginx + Phusion Passenger,NaN,America,FL,03 June 2000,05 May 2016,0,0,0,0,0,0,0,0,0,0,0
M0_976,40,UTF-8,7,GSE,6498,America,CA,31 July 2000,29 June 2016,0,0,0,0,0,0,0,0,0,0,0
M0_980,40,utf-8,9,ATS,622,America,CA,18 January 1995,26 August 2015,0,0,0,0,0,0,0,0,0,0,0
A0_116,41,UTF-8,13,nginx,643,NaN,NaN,NaN,NaN,9,0,3,1142,12,13,1430,1991,13,4,1
A0_156,41,UTF-8,11,nginx,670,NaN,NaN,NaN,NaN,15,1,5,1653,19,21,2103,2798,21,6,1
A0_52,41,ISO-8859-1,10,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,24,0,2,4034,26,30,4498,12486,30,6,1
A0_57,41,UTF-8,11,Proxy Pandeiro UOL,27103,BR,NaN,NaN,NaN,22,0,3,2316,28,26,2640,31378,26,4,1
A0_92,41,iso-8859-1,10,nginx/1.8.0,218,NaN,NaN,18 July 2005,18 June 2016,7,0,1,737,10,11,1047,1162,11,4,1
M0_107,41,iso-8859-1,6,nginx,318,NaN,NaN,21 November 2016,13 January 2017,8,0,2,1089,13,14,1601,1977,14,6,0
M0_1283,41,utf-8,8,nginx,NaN,America,Oregon,30 August 2000,16 August 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1296,41,utf-8,8,Apache,65473,America,MO,20 May 1996,24 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1373,41,UTF-8,9,nginx/1.12.0,NaN,America,Pennsylvania,08 September 2007,09 September 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1378,41,us-ascii,8,Microsoft-HTTPAPI/2.0,324,GB,worcs,25 October 2006,18 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_1425,41,utf-8,10,nginx/1.8.1,NaN,America,NY,18 October 1994,06 October 2016,0,0,0,0,0,0,0,0,0,0,0
M0_192,41,UTF-8,9,mw2231.codfw.wmnet,NaN,America,CA,13 January 2001,12 December 2015,0,0,0,0,2,0,0,124,0,0,0
M0_2019,41,UTF-8,9,mw2165.codfw.wmnet,NaN,America,CA,13 January 2001,12 December 2015,3,3,1,366,4,3,366,244,3,0,0
M0_2135,41,ISO-8859-1,9,Apache,NaN,America,Maine,23 October 1996,28 February 2017,7,5,5,630,7,7,630,442,7,0,0
M0_2299,41,UTF-8,9,Apache,7065,America,Arizona,04 November 2003,04 November 2016,5,3,3,576,8,6,576,522,6,0,0
M0_238,41,ISO-8859-1,7,openresty/1.11.2.2,10588,America,FL,30 July 2002,26 June 2014,20,0,2,1895,24,22,2055,13792,22,2,0
M0_26,41,UTF-8,8,Apache,NaN,Panama,PANAMA,09 December 2008,30 November 2016,8,0,1,1078,12,12,1390,1532,12,4,0
M0_275,41,UTF-8,9,mw2109.codfw.wmnet,NaN,America,CA,13 January 2001,12 December 2015,34,27,3,4891,37,42,5499,37001,42,8,0
M0_30,41,iso-8859-1,7,Apache,281,America,PA,09 March 2010,18 January 2013,18,0,3,1868,23,22,2202,18348,22,4,0
M0_364,41,us-ascii,8,Microsoft-IIS/7.5,324,America,Kansas,04 July 2001,19 April 2017,10,3,5,1202,16,14,1500,1335,14,4,0
M0_373,41,UTF-8,8,Apache,NaN,Japan,NaN,08 March 2016,27 February 2017,34,11,4,3699,38,40,4153,27522,40,6,0
M0_390,41,UTF-8,8,Apache,NaN,America,VA,23 February 2010,23 January 2017,26,0,8,2657,35,30,2991,34427,30,4,0
M0_427,41,iso-8859-1,10,Apache,13,America,Arizona,06 July 2016,05 September 2016,8,3,8,552,5,8,552,420,8,0,0
M0_434,41,UTF-8,8,Server,NaN,America,WA,05 January 1996,05 May 2016,40,12,6,3079,53,44,3359,38924,44,4,0
M0_713,41,ISO-8859-1,8,nginx/0.8.54,NaN,NaN,NaN,16 January 2016,13 March 2017,1,0,1,54,2,1,54,124,1,0,0
M0_731,41,utf-8,10,nginx/1.8.1,NaN,America,NY,18 October 1994,06 October 2016,10,1,4,1198,16,16,1616,2763,16,6,0
M0_758,41,ISO-8859-1,9,Apache,NaN,Australia,Queensland,22 March 2006,22 March 2017,101,41,5,10813,101,110,11423,142735,110,8,0
M0_829,41,UTF-8,10,Apache-Coyote/1.1,9817,GB,London,13 June 1997,05 November 2015,0,0,0,0,0,0,0,0,0,0,0
M0_855,41,ISO-8859-1,9,Apache,NaN,Australia,Queensland,22 March 2006,22 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_910,41,ISO-8859-1,9,nginx,NaN,France,NaN,22 July 2005,21 July 2016,0,0,0,0,0,0,0,0,0,0,0
A0_128,42,UTF-8,13,nginx,646,NaN,NaN,NaN,NaN,7,1,5,466,10,11,760,822,11,4,1
A0_154,42,UTF-8,11,nginx,673,NaN,NaN,NaN,NaN,18,1,4,2185,21,24,2637,2969,24,6,1
A0_155,42,UTF-8,11,nginx,673,NaN,NaN,NaN,NaN,18,1,5,2185,21,24,2637,2969,24,6,1
A0_40,42,utf-8,10,nginx/1.10.1,NaN,NaN,NaN,07 April 2002,NaN,15,0,3,2124,20,17,2270,12884,17,2,1
A0_47,42,ISO-8859-1,10,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,24,0,2,4035,25,30,4499,12416,30,6,1
A0_48,42,ISO-8859-1,10,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,25,0,2,4101,28,31,4565,12614,31,6,1
A0_50,42,ISO-8859-1,10,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,23,0,2,3969,24,29,4433,12354,29,6,1
A0_53,42,ISO-8859-1,10,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,America,Utah,24 May 2000,25 May 2016,25,0,2,4101,28,31,4565,12614,31,6,1
M1_3,42,ISO-8859-1,8,Apache,895,America,Arizona,05 March 2013,05 May 2013,15,0,6,1980,17,19,2334,5911,19,4,1
M0_104,42,utf-8,7,Apache/2.4.6,NaN,America,FL,24 May 2004,16 March 2017,51,11,7,4601,55,57,5103,45279,57,6,0
M0_1131,42,utf-8,8,Apache/2.4.25,NaN,India,Karnataka,30 January 2006,14 April 2014,0,0,0,0,0,0,0,0,0,0,0
M0_1139,42,utf-8,7,nginx/1.10.1,NaN,Canada,BC,19 December 1997,05 November 2012,0,0,0,0,0,0,0,0,0,0,0
M0_1236,42,UTF-8,10,nginx,NaN,America,Arizona,30 November 2006,17 April 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1257,42,UTF-8,8,Apache,7289,Canada,ON,14 April 1999,08 August 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1260,42,UTF-8,8,Apache/2.4.25,4974,Canada,Quebec,27 May 2008,27 May 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1266,42,utf-8,10,cloudflare-nginx,NaN,America,Arizona,10 November 2009,21 April 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1268,42,UTF-8,9,mw2225.codfw.wmnet,4691,America,CA,13 January 2001,12 December 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1303,42,utf-8,8,nginx/1.1.19,NaN,America,CA,09 December 1996,09 October 2015,0,0,0,0,0,0,0,0,0,0,0
M0_1351,42,UTF-8,11,nginx,NaN,America,Arizona,08 May 2004,04 April 2014,0,0,0,0,0,0,0,0,0,0,0
M0_1375,42,ISO-8859-1,10,NaN,1819,America,CA,02 November 2002,02 February 2017,0,0,0,0,0,0,0,0,0,0,0
M0_1422,42,ISO-8859-1,9,nginx,1505,America,Ohio,08 January 2004,03 January 2017,0,0,0,0,0,0,0,0,0,0,0
M0_146,42,UTF-8,9,Apache,7509,NaN,NaN,16 August 1999,17 August 2013,7,0,2,985,12,13,1433,1496,13,6,0
M0_2112,42,ISO-8859-1,9,Apache-Coyote/1.1,5127,America,CA,04 August 1995,26 January 2017,4,3,2,432,5,4,432,310,4,0,0
M0_2172,42,ISO-8859-1,7,Apache,NaN,America,Indiana,18 July 2002,10 July 2013,6,4,4,528,8,6,528,612,6,0,0
M0_2185,42,UTF-8,9,nginx,NaN,NaN,NaN,23 November 1994,19 August 2015,6,5,2,540,7,6,540,473,6,0,0
M0_2218,42,UTF-8,8,nginx,NaN,Australia,NEW SOUTH WALES,30 August 2015,08 March 2017,5,3,3,498,6,5,498,376,5,0,0
M0_2231,42,us-ascii,9,NaN,324,NaN,NaN,11 October 2000,02 July 2014,8,8,3,636,6,8,636,364,8,0,0
M0_291,42,UTF-8,8,Apache,NaN,United Kingdom,UK,27 February 1996,27 January 2016,33,0,5,2706,35,37,2982,41737,37,4,0
M0_314,42,UTF-8,8,Apache/2.2.15 (CentOS),2766,NaN,NaN,30 April 2009,05 January 2017,33,4,9,3088,34,41,3720,12104,41,8,0
M0_328,42,utf-8,8,NaN,NaN,America,CA,22 February 1996,16 January 2015,28,20,2,2780,36,32,3064,27390,32,4,0
M0_33,42,ISO-8859-1,9,Apache,NaN,Australia,Queensland,22 March 2006,22 March 2017,15,6,10,950,18,17,1110,1327,17,2,0
M0_363,42,utf-8,7,openresty/1.11.2.1,NaN,America,IL,27 November 2006,02 March 2017,19,15,3,2864,26,23,3168,10465,23,4,0
M0_510,42,UTF-8,9,Apache/2.2.22 (Debian),10561,Japan,6110021,13 February 2017,28 February 2017,15,4,4,1540,21,19,1844,25529,19,4,0
M0_518,42,UTF-8,9,Apache/2.2.22 (Debian),8769,SC,Not Applicable,29 September 2015,24 March 2017,5,0,3,334,6,7,474,412,7,2,0
M0_527,42,UTF-8,7,GSE,12608,America,CA,31 July 2000,29 June 2016,71,9,13,7856,68,77,8384,82332,77,6,0
M0_575,42,us-ascii,9,Microsoft-HTTPAPI/2.0,324,America,CA,22 October 1998,16 March 2017,29,14,15,2767,27,33,3073,3550,33,4,0
M0_603,42,UTF-8,8,Apache/2.2.15 (CentOS),94,Australia,NSW,19 August 2004,05 July 2016,14,0,3,1102,8,16,1248,1015,16,2,0
M0_818,42,ISO-8859-1,8,nginx/1.8.1,NaN,America,nj,24 June 2003,22 August 2016,0,0,0,0,0,0,0,0,0,0,0
M0_840,42,us-ascii,8,Microsoft-HTTPAPI/2.0,324,America,California,18 March 2016,14 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_92,42,utf-8,8,NaN,NaN,America,CA,22 February 1996,16 January 2015,22,15,2,2432,32,26,2716,27169,26,4,0
M0_939,42,ISO-8859-1,9,Apache,NaN,Australia,Queensland,22 March 2006,22 March 2017,0,0,0,0,0,0,0,0,0,0,0
M0_963,42,ISO-8859-1,7,Apache,497,America,PA,06 December 2010,07 December 2016,0,0,0,0,0,0,0,0,0,0,0
M0_985,42,utf-8,7,Apache/2.4.6,NaN,America,FL,24 May 2004,16 March 2017,0,0,0,0,0,0,0,0,0,0,0
A0_132,43,UTF-8,13,nginx,646,NaN,NaN,NaN,NaN,11,1,4,1266,12,15,1554,966,15,4,1
A0_153,43,UTF-8,11,nginx,673,NaN,NaN,NaN,NaN,18,1,5,2188,22,24,2640,3031,24,6,1
